Member_number,Date,itemDescription,itemDescription_ro
4308,07-04-2015,chicken,pui
1566,05-06-2015,yogurt,iaurt
2839,31-10-2015,beef,carne de vită
4666,19-10-2015,whipped/sour cream,frișcă/smântână
2325,16-04-2015,pip fruit,fruct cu sâmburi
4238,08-03-2015,frankfurter,
1983,20-05-2015,soda,suc carbogazos
4798,21-11-2015,pip fruit,fruct cu sâmburi
3703,16-06-2015,citrus fruit,fructe citrice
1456,19-07-2015,whole milk,lapte integral
3309,02-09-2015,root vegetables,legume rădăcinoase
1983,09-08-2015,sausage,cârnați
2676,07-04-2015,liver loaf,
1017,30-09-2015,soda,suc carbogazos
3793,07-08-2015,root vegetables,legume rădăcinoase
1609,03-05-2015,other vegetables,alte legume
3459,23-01-2015,tropical fruit,fruct tropical
1192,09-01-2015,butter,unt
3044,05-01-2015,sausage,cârnați
3661,27-11-2015,butter,unt
1188,09-01-2015,whole milk,lapte integral
1865,02-08-2015,other vegetables,alte legume
1692,28-06-2015,whole milk,lapte integral
3577,12-05-2015,white bread,pâine albă
4951,13-03-2015,pork,carne de porc
1714,02-08-2015,whipped/sour cream,frișcă/smântână
1610,26-05-2015,yogurt,iaurt
4652,08-04-2015,butter milk,
4020,11-04-2015,yogurt,iaurt
2633,27-11-2015,other vegetables,alte legume
4305,24-07-2015,pastry,patiserie
2416,15-02-2015,yogurt,iaurt
3124,09-04-2015,citrus fruit,fructe citrice
1422,31-05-2015,condensed milk,lapte condensat
2101,07-01-2015,root vegetables,legume rădăcinoase
2876,30-10-2015,other vegetables,alte legume
2684,11-01-2015,citrus fruit,fructe citrice
2377,16-04-2015,frankfurter,
2394,17-02-2015,sausage,cârnați
4320,13-01-2015,other vegetables,alte legume
1009,05-10-2015,herbs,
1460,13-01-2015,ham,șuncă
1821,20-04-2015,root vegetables,legume rădăcinoase
3182,15-10-2015,soda,suc carbogazos
1526,26-11-2015,sausage,cârnați
2070,16-07-2015,frankfurter,
2534,18-05-2015,bottled water,apă îmbuteliată
3794,28-04-2015,meat,
1405,28-02-2015,ham,șuncă
4544,07-01-2015,sugar,zahăr
2494,10-06-2015,chicken,pui
3322,02-02-2015,UHT-milk,
3655,16-02-2015,beef,carne de vită
2918,08-04-2015,ham,șuncă
2584,31-03-2015,rolls/buns,chifle
2212,16-04-2015,citrus fruit,fructe citrice
3176,01-08-2015,citrus fruit,fructe citrice
4564,13-06-2015,cat food,
4556,17-08-2015,hard cheese,brânză tare
4573,10-10-2015,frankfurter,
2781,10-04-2015,bottled beer,bere la sticlă
3316,03-01-2015,yogurt,iaurt
1827,02-05-2015,frankfurter,
4889,03-02-2015,rolls/buns,chifle
3548,01-06-2015,whole milk,lapte integral
2736,17-07-2015,meat,
4927,19-10-2015,curd,brânză de vaci
3214,22-12-2015,beverages,băuturi
3275,18-06-2015,frankfurter,
2909,08-05-2015,sausage,cârnați
4226,06-12-2015,sausage,cârnați
1622,11-03-2015,meat,
1395,12-10-2015,sausage,cârnați
2938,06-06-2015,whole milk,lapte integral
3674,13-08-2015,canned beer,bere la cutie
2063,08-11-2015,frankfurter,
4214,07-10-2015,long life bakery product,produs de patiserie cu termen lung
3042,16-01-2015,pork,carne de porc
3877,17-09-2015,pip fruit,fruct cu sâmburi
2168,25-11-2015,bottled beer,bere la sticlă
1503,12-05-2015,pork,carne de porc
2769,23-04-2015,bottled water,apă îmbuteliată
4933,27-02-2015,whole milk,lapte integral
3082,22-05-2015,curd,brânză de vaci
1422,01-01-2015,tropical fruit,fruct tropical
3139,26-02-2015,pip fruit,fruct cu sâmburi
2200,08-03-2015,chicken,pui
4670,31-08-2015,whole milk,lapte integral
2053,21-09-2015,citrus fruit,fructe citrice
4847,03-02-2015,canned beer,bere la cutie
1185,24-08-2015,pip fruit,fruct cu sâmburi
4656,25-12-2015,photo/film,fotografii/film
2741,11-09-2015,root vegetables,legume rădăcinoase
2654,17-08-2015,frankfurter,
2010,19-12-2015,yogurt,iaurt
2586,10-07-2015,UHT-milk,
3511,15-11-2015,organic sausage,cârnați organici
4700,06-06-2015,whole milk,lapte integral
2235,20-01-2015,meat,
2557,23-10-2015,pork,carne de porc
3462,16-02-2015,coffee,cafea
1356,02-04-2015,soft cheese,brânză moale
1477,20-11-2015,sausage,cârnați
3094,13-06-2015,sausage,cârnați
3981,25-12-2015,finished products,produse finite
1340,23-01-2015,whole milk,lapte integral
4015,10-01-2015,curd,brânză de vaci
1719,10-09-2015,coffee,cafea
1542,15-05-2015,tropical fruit,fruct tropical
1357,10-04-2015,soda,suc carbogazos
4003,21-11-2015,whole milk,lapte integral
4224,06-12-2015,bottled beer,bere la sticlă
1292,05-07-2015,oil,ulei
4018,28-04-2015,hamburger meat,
2721,15-07-2015,yogurt,iaurt
4016,21-04-2015,pork,carne de porc
3654,16-12-2015,frankfurter,
3745,26-08-2015,sausage,cârnați
2851,16-09-2015,canned beer,bere la cutie
1474,29-07-2015,frankfurter,
3623,05-02-2015,beef,carne de vită
1647,20-12-2015,yogurt,iaurt
1312,09-02-2015,long life bakery product,produs de patiserie cu termen lung
1218,13-06-2015,other vegetables,alte legume
4745,24-12-2015,pastry,patiserie
4994,08-02-2015,sausage,cârnați
1465,09-11-2015,canned beer,bere la cutie
2380,07-01-2015,sausage,cârnați
1150,25-05-2015,canned beer,bere la cutie
4371,21-06-2015,finished products,produse finite
4668,01-02-2015,other vegetables,alte legume
2167,29-05-2015,pork,carne de porc
3534,09-03-2015,beef,carne de vită
3399,12-07-2015,specialty bar,
1144,13-08-2015,canned beer,bere la cutie
2136,10-02-2015,bottled beer,bere la sticlă
1888,10-04-2015,ham,șuncă
4990,14-12-2015,tropical fruit,fruct tropical
1731,20-11-2015,chicken,pui
4632,04-10-2015,pork,carne de porc
3035,29-11-2015,yogurt,iaurt
4376,22-07-2015,chicken,pui
3760,04-06-2015,sausage,cârnați
1135,24-02-2015,hard cheese,brânză tare
3132,12-08-2015,long life bakery product,produs de patiserie cu termen lung
1252,11-03-2015,chicken,pui
3698,24-08-2015,frankfurter,
1442,25-07-2015,pastry,patiserie
1160,24-01-2015,shopping bags,pungi de cumpărături
1451,27-01-2015,tropical fruit,fruct tropical
2785,01-02-2015,frozen meals,
3159,31-01-2015,whole milk,lapte integral
3205,17-01-2015,pork,carne de porc
2703,27-03-2015,hamburger meat,
1115,22-01-2015,other vegetables,alte legume
2632,24-05-2015,domestic eggs,ouă
2729,23-07-2015,hamburger meat,
4334,10-11-2015,berries,fructe de pădure
1009,23-09-2015,pastry,patiserie
3098,04-09-2015,sausage,cârnați
1489,07-03-2015,frozen vegetables,legume congelate
4240,04-12-2015,dessert,
1096,28-07-2015,pip fruit,fruct cu sâmburi
3120,14-11-2015,liver loaf,
1608,13-11-2015,root vegetables,legume rădăcinoase
2298,16-08-2015,root vegetables,legume rădăcinoase
4646,31-07-2015,other vegetables,alte legume
3782,03-02-2015,chicken,pui
2448,29-12-2015,rolls/buns,chifle
4999,16-05-2015,butter milk,
1233,13-08-2015,butter milk,
1335,13-09-2015,onions,ceapă
1889,28-08-2015,ham,șuncă
3815,15-09-2015,coffee,cafea
3976,20-09-2015,chicken,pui
3051,23-01-2015,whole milk,lapte integral
2630,15-02-2015,frankfurter,
4182,18-06-2015,citrus fruit,fructe citrice
1524,05-03-2015,tropical fruit,fruct tropical
2165,06-09-2015,citrus fruit,fructe citrice
3710,15-07-2015,whole milk,lapte integral
1859,12-04-2015,canned beer,bere la cutie
1682,01-11-2015,canned beer,bere la cutie
3682,02-01-2015,citrus fruit,fructe citrice
1866,13-07-2015,chicken,pui
1764,15-11-2015,canned beer,bere la cutie
2016,15-08-2015,sugar,zahăr
3758,06-03-2015,pork,carne de porc
1380,09-04-2015,rolls/buns,chifle
3063,28-10-2015,whole milk,lapte integral
4782,16-08-2015,rolls/buns,chifle
3677,21-04-2015,mayonnaise,maioneză
2315,15-09-2015,rolls/buns,chifle
3548,11-06-2015,pork,carne de porc
3198,08-05-2015,citrus fruit,fructe citrice
1436,01-03-2015,beverages,băuturi
4874,23-12-2015,napkins,șervețele
4002,28-08-2015,canned beer,bere la cutie
2911,14-07-2015,soda,suc carbogazos
1611,04-04-2015,bottled beer,bere la sticlă
2561,19-08-2015,sausage,cârnați
2343,30-05-2015,sausage,cârnați
1021,07-11-2015,rolls/buns,chifle
3484,15-05-2015,tropical fruit,fruct tropical
4378,04-05-2015,frankfurter,
1751,25-03-2015,sausage,cârnați
1730,24-01-2015,sausage,cârnați
4669,25-06-2015,whole milk,lapte integral
1184,16-06-2015,root vegetables,legume rădăcinoase
4793,04-11-2015,sausage,cârnați
4600,12-02-2015,root vegetables,legume rădăcinoase
3966,11-01-2015,tropical fruit,fruct tropical
3017,22-09-2015,hamburger meat,
1834,22-11-2015,meat,
4508,15-06-2015,soda,suc carbogazos
2879,26-05-2015,frankfurter,
4643,12-03-2015,other vegetables,alte legume
3757,03-02-2015,whole milk,lapte integral
1486,20-08-2015,pastry,patiserie
3018,18-01-2015,canned beer,bere la cutie
3600,17-08-2015,canned beer,bere la cutie
1239,24-01-2015,condensed milk,lapte condensat
1315,07-11-2015,ham,șuncă
1654,28-09-2015,cream cheese ,
3551,24-07-2015,pork,carne de porc
2861,02-12-2015,pastry,patiserie
1170,09-10-2015,citrus fruit,fructe citrice
1351,26-02-2015,meat,
2645,27-06-2015,soda,suc carbogazos
4202,02-05-2015,yogurt,iaurt
2653,02-03-2015,whipped/sour cream,frișcă/smântână
3961,05-03-2015,sausage,cârnați
2441,31-05-2015,canned beer,bere la cutie
3637,22-12-2015,root vegetables,legume rădăcinoase
2329,15-07-2015,pastry,patiserie
3858,27-03-2015,rolls/buns,chifle
4294,02-03-2015,rolls/buns,chifle
4765,01-07-2015,frankfurter,
4017,11-10-2015,sausage,cârnați
4855,01-05-2015,liquor,
2673,10-12-2015,yogurt,iaurt
3352,02-07-2015,frankfurter,
1391,21-08-2015,ham,șuncă
4352,29-12-2015,chocolate,ciocolată
1298,27-07-2015,bottled beer,bere la sticlă
1618,02-08-2015,chicken,pui
2433,21-06-2015,specialty cheese,brânză specială
4992,01-03-2015,frankfurter,
3515,21-04-2015,pip fruit,fruct cu sâmburi
1786,10-02-2015,canned beer,bere la cutie
3844,27-06-2015,pork,carne de porc
3914,08-01-2015,canned beer,bere la cutie
4859,10-05-2015,beef,carne de vită
2747,30-08-2015,rolls/buns,chifle
4172,08-10-2015,dental care,îngrijire dentară
1796,15-08-2015,sausage,cârnați
2524,05-12-2015,rolls/buns,chifle
3523,01-04-2015,whole milk,lapte integral
3761,30-03-2015,beef,carne de vită
1830,16-01-2015,ham,șuncă
4144,01-04-2015,finished products,produse finite
3803,27-01-2015,dessert,
4503,22-03-2015,rolls/buns,chifle
2055,02-05-2015,sausage,cârnați
3634,10-12-2015,citrus fruit,fructe citrice
4503,09-08-2015,whole milk,lapte integral
3756,02-12-2015,whole milk,lapte integral
3071,13-06-2015,sausage,cârnați
3168,16-12-2015,root vegetables,legume rădăcinoase
2301,24-12-2015,organic sausage,cârnați organici
1270,25-04-2015,pork,carne de porc
3999,15-11-2015,dessert,
1603,13-07-2015,canned beer,bere la cutie
3089,16-02-2015,citrus fruit,fructe citrice
4671,30-05-2015,hamburger meat,
2985,29-05-2015,citrus fruit,fructe citrice
3318,21-07-2015,other vegetables,alte legume
3954,10-02-2015,canned beer,bere la cutie
1048,18-10-2015,rolls/buns,chifle
3586,24-05-2015,ham,șuncă
4431,16-11-2015,beverages,băuturi
3977,16-04-2015,whole milk,lapte integral
1799,13-06-2015,canned beer,bere la cutie
2609,26-08-2015,frankfurter,
4187,10-04-2015,whole milk,lapte integral
3140,11-02-2015,citrus fruit,fructe citrice
4942,23-11-2015,frankfurter,
3886,18-11-2015,frankfurter,
4453,23-08-2015,yogurt,iaurt
1056,09-11-2015,whipped/sour cream,frișcă/smântână
2700,18-10-2015,candy,bomboane
1049,05-09-2015,frankfurter,
2446,29-07-2015,chicken,pui
4864,05-07-2015,sausage,cârnați
1483,25-04-2015,brown bread,pâine integrală
4158,26-12-2015,pip fruit,fruct cu sâmburi
2212,28-10-2015,bottled water,apă îmbuteliată
1142,13-06-2015,chicken,pui
2273,26-10-2015,sausage,cârnați
3741,23-01-2015,chicken,pui
3574,20-06-2015,pork,carne de porc
3902,29-11-2015,ham,șuncă
2169,21-10-2015,citrus fruit,fructe citrice
3038,11-01-2015,rolls/buns,chifle
2023,07-02-2015,tropical fruit,fruct tropical
1038,10-04-2015,other vegetables,alte legume
3998,23-01-2015,other vegetables,alte legume
3516,13-12-2015,photo/film,fotografii/film
1979,09-09-2015,pork,carne de porc
3635,13-12-2015,pastry,patiserie
3966,01-06-2015,frankfurter,
1430,12-11-2015,rolls/buns,chifle
2583,26-03-2015,berries,fructe de pădure
2055,07-07-2015,photo/film,fotografii/film
1092,03-07-2015,photo/film,fotografii/film
4138,10-10-2015,whole milk,lapte integral
1515,28-11-2015,waffles,vafe
3481,04-10-2015,sausage,cârnați
2426,02-06-2015,hamburger meat,
1886,02-12-2015,canned beer,bere la cutie
4861,13-09-2015,other vegetables,alte legume
2946,04-11-2015,chicken,pui
2349,17-07-2015,ice cream,înghețată
2326,13-11-2015,pork,carne de porc
2910,19-07-2015,citrus fruit,fructe citrice
2103,11-03-2015,frozen meals,
3260,02-12-2015,ham,șuncă
1893,04-04-2015,hamburger meat,
3352,08-11-2015,soda,suc carbogazos
4834,27-04-2015,frankfurter,
2476,25-02-2015,canned beer,bere la cutie
1013,02-07-2015,frozen meals,
3004,10-02-2015,whole milk,lapte integral
1573,21-01-2015,misc. beverages,
2089,31-10-2015,canned beer,bere la cutie
3077,19-01-2015,root vegetables,legume rădăcinoase
3900,07-07-2015,sausage,cârnați
2470,14-05-2015,canned beer,bere la cutie
4785,04-04-2015,tropical fruit,fruct tropical
2916,19-04-2015,pastry,patiserie
3179,21-03-2015,sausage,cârnați
2285,16-12-2015,canned beer,bere la cutie
2617,03-01-2015,soda,suc carbogazos
1945,24-04-2015,canned beer,bere la cutie
4601,15-12-2015,cat food,
4722,13-10-2015,sausage,cârnați
4605,13-08-2015,bottled water,apă îmbuteliată
4971,19-02-2015,soda,suc carbogazos
4725,01-09-2015,rolls/buns,chifle
3872,07-08-2015,pork,carne de porc
4280,02-05-2015,frozen meals,
4544,21-01-2015,soda,suc carbogazos
4839,03-06-2015,pastry,patiserie
2785,04-08-2015,shopping bags,pungi de cumpărături
1594,23-01-2015,brown bread,pâine integrală
4675,16-01-2015,yogurt,iaurt
1321,13-04-2015,bottled beer,bere la sticlă
1535,03-07-2015,pip fruit,fruct cu sâmburi
4437,13-06-2015,hamburger meat,
2249,29-05-2015,long life bakery product,produs de patiserie cu termen lung
1785,24-07-2015,ham,șuncă
4635,16-10-2015,butter,unt
4125,14-06-2015,whole milk,lapte integral
3568,11-08-2015,dessert,
3575,20-01-2015,photo/film,fotografii/film
2691,04-11-2015,bags,
3571,17-06-2015,rolls/buns,chifle
4648,03-08-2015,brown bread,pâine integrală
2085,25-03-2015,beef,carne de vită
4104,01-01-2015,dessert,
1143,27-01-2015,misc. beverages,
2228,30-05-2015,sugar,zahăr
3746,13-07-2015,sausage,cârnați
3934,27-03-2015,whole milk,lapte integral
1329,29-03-2015,sausage,cârnați
4689,07-09-2015,canned beer,bere la cutie
3199,24-12-2015,citrus fruit,fructe citrice
4778,26-04-2015,sausage,cârnați
1146,11-06-2015,whole milk,lapte integral
4338,11-10-2015,pip fruit,fruct cu sâmburi
1345,21-07-2015,frankfurter,
4441,09-11-2015,citrus fruit,fructe citrice
2540,16-02-2015,misc. beverages,
1997,06-06-2015,frankfurter,
2294,26-07-2015,chocolate,ciocolată
1523,28-03-2015,ham,șuncă
3165,18-08-2015,frankfurter,
4831,12-04-2015,brown bread,pâine integrală
4073,02-11-2015,rolls/buns,chifle
3661,25-07-2015,pip fruit,fruct cu sâmburi
2019,09-10-2015,sausage,cârnați
1092,16-05-2015,root vegetables,legume rădăcinoase
4078,14-11-2015,pork,carne de porc
4753,21-06-2015,whole milk,lapte integral
1279,10-09-2015,beverages,băuturi
1012,19-11-2015,tropical fruit,fruct tropical
2362,23-11-2015,specialty chocolate,
2789,06-02-2015,pastry,patiserie
3229,07-08-2015,cat food,
1715,03-05-2015,chicken,pui
4351,16-01-2015,bottled beer,bere la sticlă
4397,27-06-2015,whipped/sour cream,frișcă/smântână
3653,21-10-2015,long life bakery product,produs de patiserie cu termen lung
2730,10-11-2015,beef,carne de vită
4321,27-10-2015,salty snack,gustare sărată
1086,17-11-2015,other vegetables,alte legume
1708,28-12-2015,meat,
4293,24-08-2015,fish,pește
4524,22-04-2015,whole milk,lapte integral
3783,08-03-2015,detergent,detergent
1460,24-06-2015,hamburger meat,
2960,19-12-2015,whole milk,lapte integral
3442,12-10-2015,beef,carne de vită
4059,07-05-2015,frozen meals,
1822,03-03-2015,pip fruit,fruct cu sâmburi
1584,10-07-2015,yogurt,iaurt
1624,04-02-2015,rolls/buns,chifle
4877,06-11-2015,whole milk,lapte integral
1567,11-04-2015,ham,șuncă
2018,04-01-2015,frozen meals,
1182,01-09-2015,ice cream,înghețată
3401,02-08-2015,pork,carne de porc
4547,18-01-2015,chewing gum,gumă de mestecat
3547,21-10-2015,tropical fruit,fruct tropical
4831,06-04-2015,whole milk,lapte integral
2851,01-01-2015,whole milk,lapte integral
3072,28-02-2015,bottled water,apă îmbuteliată
1398,15-04-2015,sausage,cârnați
1779,28-10-2015,whole milk,lapte integral
1823,27-11-2015,whole milk,lapte integral
3360,14-11-2015,whole milk,lapte integral
1565,15-10-2015,pork,carne de porc
4321,08-05-2015,curd,brânză de vaci
1293,05-03-2015,dessert,
3331,25-07-2015,waffles,vafe
2408,19-05-2015,onions,ceapă
2742,10-10-2015,misc. beverages,
3934,01-05-2015,shopping bags,pungi de cumpărături
4742,22-06-2015,white wine,
4405,22-07-2015,frankfurter,
3229,25-03-2015,white bread,pâine albă
2817,22-12-2015,pork,carne de porc
2741,17-02-2015,other vegetables,alte legume
3562,30-12-2015,pork,carne de porc
4442,10-06-2015,berries,fructe de pădure
2022,05-02-2015,frankfurter,
4380,03-11-2015,root vegetables,legume rădăcinoase
3687,22-12-2015,finished products,produse finite
2077,07-05-2015,bottled water,apă îmbuteliată
3273,15-03-2015,margarine,margarină
3736,27-11-2015,soda,suc carbogazos
3190,28-03-2015,hamburger meat,
3295,28-07-2015,root vegetables,legume rădăcinoase
3276,30-06-2015,root vegetables,legume rădăcinoase
4405,06-01-2015,soda,suc carbogazos
4266,31-07-2015,canned beer,bere la cutie
1372,25-06-2015,frozen fish,
1242,13-12-2015,beverages,băuturi
4820,01-05-2015,pip fruit,fruct cu sâmburi
4702,08-11-2015,pot plants,
3687,16-07-2015,pork,carne de porc
4115,20-03-2015,fruit/vegetable juice,suc de fructe/legume
2236,03-02-2015,fruit/vegetable juice,suc de fructe/legume
1026,15-03-2015,fruit/vegetable juice,suc de fructe/legume
2678,20-03-2015,tropical fruit,fruct tropical
1934,04-08-2015,yogurt,iaurt
3525,14-02-2015,canned beer,bere la cutie
1354,29-11-2015,canned beer,bere la cutie
2782,09-04-2015,cream cheese ,
4456,16-05-2015,bottled water,apă îmbuteliată
4869,03-04-2015,sausage,cârnați
2454,26-08-2015,soda,suc carbogazos
4222,20-08-2015,newspapers,ziare
1358,11-09-2015,whole milk,lapte integral
3393,15-02-2015,pot plants,
1615,03-12-2015,yogurt,iaurt
4734,12-07-2015,roll products ,
4946,04-11-2015,soft cheese,brânză moale
2419,22-08-2015,frozen meals,
4989,03-06-2015,ice cream,înghețată
2961,27-05-2015,frankfurter,
2707,07-03-2015,meat,
2010,06-11-2015,soda,suc carbogazos
1502,16-04-2015,butter milk,
2600,29-04-2015,frozen potato products,
3603,30-01-2015,other vegetables,alte legume
4352,14-04-2015,frankfurter,
1477,16-05-2015,misc. beverages,
4938,24-11-2015,sausage,cârnați
2745,27-01-2015,butter,unt
2738,09-11-2015,frankfurter,
4170,19-01-2015,bottled water,apă îmbuteliată
3776,17-05-2015,kitchen towels,
1062,18-09-2015,other vegetables,alte legume
1546,03-01-2015,butter,unt
2020,19-11-2015,sausage,cârnați
2366,18-01-2015,frankfurter,
1107,03-01-2015,liver loaf,
1407,29-07-2015,white wine,
3718,26-02-2015,frankfurter,
4808,26-07-2015,meat,
2940,21-05-2015,canned beer,bere la cutie
3048,10-12-2015,chicken,pui
3165,15-06-2015,other vegetables,alte legume
4306,28-12-2015,pip fruit,fruct cu sâmburi
4302,05-11-2015,other vegetables,alte legume
4516,29-03-2015,yogurt,iaurt
3582,31-03-2015,root vegetables,legume rădăcinoase
1534,10-07-2015,shopping bags,pungi de cumpărături
1844,24-07-2015,UHT-milk,
1218,05-07-2015,whole milk,lapte integral
4482,30-11-2015,hamburger meat,
2574,11-12-2015,frozen vegetables,legume congelate
2767,27-01-2015,root vegetables,legume rădăcinoase
2794,29-09-2015,sausage,cârnați
4228,26-03-2015,whole milk,lapte integral
3062,08-06-2015,beef,carne de vită
2365,21-06-2015,sausage,cârnați
3775,07-07-2015,pork,carne de porc
2232,06-05-2015,bottled beer,bere la sticlă
4156,03-08-2015,salty snack,gustare sărată
3643,20-09-2015,bottled beer,bere la sticlă
3470,04-10-2015,soda,suc carbogazos
2602,11-12-2015,bottled water,apă îmbuteliată
4796,10-06-2015,frankfurter,
3289,09-08-2015,tropical fruit,fruct tropical
4470,31-03-2015,canned beer,bere la cutie
2502,07-02-2015,chicken,pui
2205,07-03-2015,citrus fruit,fructe citrice
3201,21-01-2015,curd,brânză de vaci
2882,25-06-2015,citrus fruit,fructe citrice
2757,16-12-2015,citrus fruit,fructe citrice
3679,30-08-2015,other vegetables,alte legume
2380,12-02-2015,bottled water,apă îmbuteliată
1825,06-10-2015,chicken,pui
2868,18-07-2015,waffles,vafe
2709,20-08-2015,curd,brânză de vaci
4585,16-07-2015,oil,ulei
2634,22-04-2015,berries,fructe de pădure
4832,03-12-2015,frankfurter,
2032,28-07-2015,pork,carne de porc
2061,27-12-2015,tropical fruit,fruct tropical
2210,13-01-2015,frankfurter,
2346,05-08-2015,specialty cheese,brânză specială
4315,26-04-2015,citrus fruit,fructe citrice
4166,26-07-2015,bottled beer,bere la sticlă
3907,25-10-2015,other vegetables,alte legume
2706,22-03-2015,frankfurter,
2855,05-08-2015,canned beer,bere la cutie
2074,10-04-2015,citrus fruit,fructe citrice
2840,27-05-2015,other vegetables,alte legume
2247,31-05-2015,citrus fruit,fructe citrice
4063,14-07-2015,whole milk,lapte integral
4780,03-07-2015,soda,suc carbogazos
1081,06-03-2015,other vegetables,alte legume
4843,02-03-2015,pip fruit,fruct cu sâmburi
3246,27-08-2015,canned beer,bere la cutie
4009,14-07-2015,tropical fruit,fruct tropical
3697,03-10-2015,root vegetables,legume rădăcinoase
4579,29-10-2015,other vegetables,alte legume
3803,06-10-2015,root vegetables,legume rădăcinoase
4108,21-07-2015,bottled water,apă îmbuteliată
1664,01-04-2015,whole milk,lapte integral
4179,06-03-2015,root vegetables,legume rădăcinoase
4172,18-02-2015,tropical fruit,fruct tropical
2851,17-02-2015,butter,unt
3385,22-06-2015,flower soil/fertilizer,
1303,08-09-2015,pasta,
4487,22-01-2015,other vegetables,alte legume
2392,23-03-2015,other vegetables,alte legume
4218,03-10-2015,beef,carne de vită
2891,02-07-2015,root vegetables,legume rădăcinoase
4474,10-12-2015,whole milk,lapte integral
4437,28-07-2015,pork,carne de porc
2648,08-11-2015,beef,carne de vită
1081,03-05-2015,specialty bar,
3071,21-01-2015,salty snack,gustare sărată
3409,20-05-2015,sausage,cârnați
2768,01-01-2015,tropical fruit,fruct tropical
3424,16-08-2015,canned beer,bere la cutie
4610,19-04-2015,pip fruit,fruct cu sâmburi
3090,04-11-2015,turkey,
4585,01-05-2015,other vegetables,alte legume
4388,20-03-2015,sausage,cârnați
3751,01-01-2015,frankfurter,
2650,11-05-2015,citrus fruit,fructe citrice
4282,23-06-2015,chicken,pui
3273,26-09-2015,citrus fruit,fructe citrice
2983,11-09-2015,flour,
2075,20-01-2015,baking powder,
2841,20-12-2015,finished products,produse finite
1562,11-05-2015,frankfurter,
4619,16-06-2015,chicken,pui
3122,31-10-2015,chicken,pui
1790,29-03-2015,sausage,cârnați
4395,08-06-2015,beef,carne de vită
3074,13-04-2015,whole milk,lapte integral
3797,20-01-2015,sausage,cârnați
4958,11-07-2015,other vegetables,alte legume
3752,08-02-2015,onions,ceapă
1277,01-12-2015,sausage,cârnați
4403,20-09-2015,frankfurter,
2272,05-09-2015,zwieback,
3443,18-04-2015,chicken,pui
4667,19-07-2015,frankfurter,
2902,06-06-2015,whole milk,lapte integral
1494,25-06-2015,frozen fish,
2231,08-05-2015,berries,fructe de pădure
1917,29-07-2015,chicken,pui
2144,05-01-2015,onions,ceapă
2656,16-12-2015,beef,carne de vită
1881,05-06-2015,root vegetables,legume rădăcinoase
4764,27-09-2015,soda,suc carbogazos
2755,17-05-2015,whole milk,lapte integral
2361,27-02-2015,citrus fruit,fructe citrice
2311,01-11-2015,sausage,cârnați
3937,04-05-2015,sparkling wine,
4932,17-07-2015,UHT-milk,
3304,28-03-2015,soda,suc carbogazos
1133,03-08-2015,curd,brânză de vaci
2843,14-12-2015,whole milk,lapte integral
2719,30-05-2015,frankfurter,
2678,04-04-2015,chocolate,ciocolată
2211,29-11-2015,other vegetables,alte legume
4682,19-03-2015,coffee,cafea
1696,04-10-2015,tropical fruit,fruct tropical
2061,12-02-2015,beef,carne de vită
1385,21-06-2015,whipped/sour cream,frișcă/smântână
4302,08-03-2015,tropical fruit,fruct tropical
4113,27-04-2015,UHT-milk,
1122,25-06-2015,root vegetables,legume rădăcinoase
4508,07-10-2015,frankfurter,
4688,03-08-2015,pip fruit,fruct cu sâmburi
3906,16-06-2015,pip fruit,fruct cu sâmburi
2847,18-05-2015,whipped/sour cream,frișcă/smântână
3402,29-03-2015,canned beer,bere la cutie
2039,22-09-2015,oil,ulei
4228,04-04-2015,white bread,pâine albă
3622,29-08-2015,soda,suc carbogazos
2643,08-11-2015,hygiene articles,
3406,13-09-2015,bottled beer,bere la sticlă
4537,22-01-2015,dessert,
1326,07-02-2015,cereals,
3490,09-07-2015,canned beer,bere la cutie
1277,02-03-2015,frankfurter,
1599,13-10-2015,sausage,cârnați
2013,07-02-2015,UHT-milk,
2613,24-05-2015,misc. beverages,
1705,12-10-2015,baking powder,
4571,03-03-2015,bottled water,apă îmbuteliată
3432,25-02-2015,meat,
3641,27-12-2015,bottled water,apă îmbuteliată
4232,14-11-2015,pork,carne de porc
3614,28-04-2015,tropical fruit,fruct tropical
1120,14-07-2015,citrus fruit,fructe citrice
4345,28-01-2015,rolls/buns,chifle
3663,04-01-2015,meat spreads,paste de carne
2147,12-11-2015,brown bread,pâine integrală
4718,04-09-2015,bottled water,apă îmbuteliată
2825,14-08-2015,frankfurter,
3195,14-06-2015,pork,carne de porc
1910,30-10-2015,yogurt,iaurt
4170,08-01-2015,soda,suc carbogazos
4576,17-09-2015,canned beer,bere la cutie
1959,09-07-2015,pastry,patiserie
2729,06-01-2015,citrus fruit,fructe citrice
1811,18-03-2015,citrus fruit,fructe citrice
4548,30-07-2015,sausage,cârnați
4463,15-08-2015,decalcifier,decalifiant
3908,10-07-2015,sausage,cârnați
3579,24-05-2015,beef,carne de vită
2226,06-01-2015,hamburger meat,
3701,27-04-2015,mayonnaise,maioneză
4149,20-03-2015,fruit/vegetable juice,suc de fructe/legume
3011,22-06-2015,finished products,produse finite
2324,18-08-2015,chicken,pui
3778,03-12-2015,whole milk,lapte integral
3837,12-05-2015,ham,șuncă
3587,06-01-2015,liquor,
3885,15-10-2015,canned beer,bere la cutie
2271,17-01-2015,dog food,
4134,14-06-2015,citrus fruit,fructe citrice
